asset_id,property_type,region,tenant_industry,credit_tier,annual_rent,property_value,asset_age,lease_term_remaining,occupancy_rate,rent_coverage_ratio,noi_margin,sales_trend_12m,traffic_trend_12m,capex_need_pct_value,delinquency_days,arrears_pct_annual_rent,tenant_concentration_pct,local_unemployment,market_rent_growth,renewal_probability,synthetic_risk_score,portfolio_health
REIT-00024,Quick Service Restaurant,Northeast,Logistics,Strong Private,354012.69,7866948.63,10,6.45,1.0,2.755,0.4962,-0.1009,0.0223,0.0289,4,0.0062,0.048,0.0564,-0.0157,0.8597,21.75,healthy
REIT-00025,Industrial,Southwest,Auto,Strong Private,2263209.2,31988104.43,36,2.73,0.978,2.555,0.7983,-0.0344,-0.0562,0.0321,1,0.0,0.0652,0.0442,-0.08,0.6513,34.31,healthy
REIT-00026,Automotive Service,Southwest,Auto,Watch,414276.36,7421840.28,30,3.48,0.9821,2.948,0.5266,0.0553,0.0758,0.0271,7,0.0052,0.0096,0.0441,0.0624,0.7479,50.15,watchlist
REIT-00027,Entertainment,Southwest,Manufacturing,Stable,1584808.66,24073787.43,32,6.41,1.0,2.394,0.7817,0.0861,-0.1191,0.0365,10,0.0128,0.0342,0.0393,0.0195,0.9114,40.26,healthy
REIT-00028,Grocery,Northeast,Professional Services,Stable,1535696.17,23416900.4,18,10.81,0.9194,1.397,0.6804,-0.1538,-0.0164,0.0,4,0.0,0.0505,0.0336,-0.0322,0.7606,81.98,at risk
REIT-00029,Medical Office,Midwest,Professional Services,Watch,910265.74,12550889.75,6,11.32,1.0,2.849,0.7062,-0.0217,-0.0267,0.015,10,0.0137,0.0339,0.0423,-0.0008,0.9643,40.45,healthy
REIT-00030,Office,Southeast,Healthcare,Stable,1141334.45,17930949.62,25,10.61,0.9344,1.839,0.7572,0.1059,-0.0384,0.0204,2,0.0216,0.0533,0.0342,0.0677,0.98,45.93,healthy
REIT-00031,Distribution,Southeast,Fitness,Stable,2263516.85,28853156.45,12,8.28,0.979,1.697,0.6674,-0.05,0.1912,0.0104,0,0.0164,0.0234,0.0472,0.0439,0.767,49.48,watchlist
REIT-00032,Industrial,Northeast,Auto,Stable,1544857.09,22768238.64,39,10.91,0.9743,2.229,0.7884,0.0153,0.0305,0.0169,1,0.0256,0.0546,0.0391,0.0083,0.9358,30.44,healthy
REIT-00033,Quick Service Restaurant,West Coast,Fitness,Watch,331689.34,5494314.79,34,6.55,0.9145,1.764,0.6745,-0.2482,0.013,0.0281,12,0.0,0.0398,0.0237,0.0339,0.4946,83.11,at risk
REIT-00034,Entertainment,Mountain,Restaurant,Watch,1126759.08,14867181.28,31,0.68,0.9888,2.179,0.6478,0.1108,-0.1084,0.0203,7,0.0,0.0431,0.0381,0.0604,0.9434,66.25,watchlist
REIT-00035,Distribution,Southwest,Grocery,Watch,2684214.62,38262034.38,21,3.87,1.0,2.525,0.7066,-0.186,0.0054,0.0067,11,0.0501,0.0503,0.0381,0.0373,0.367,71.61,at risk
REIT-00036,Medical Office,Southeast,Manufacturing,Weak,826000.23,12023721.68,28,15.53,1.0,2.517,0.7752,-0.0448,-0.0683,0.0112,13,0.021,0.0421,0.0245,-0.0236,0.9185,62.6,watchlist
REIT-00037,Entertainment,Northeast,Logistics,Stable,1043375.81,12764870.75,37,4.41,0.9618,3.003,0.6438,-0.2052,-0.0451,0.0393,1,0.0097,0.0617,0.0289,0.0528,0.7569,53.15,watchlist
REIT-00038,Fitness,Midwest,Auto,Weak,750175.38,12052898.7,32,4.05,0.9765,2.08,0.6239,-0.1195,0.0942,0.0225,11,0.0729,0.053,0.0287,0.0073,0.4245,100.0,at risk
REIT-00039,Quick Service Restaurant,Northeast,Logistics,Watch,468851.93,6432856.44,29,3.58,0.9225,3.043,0.6474,0.1112,0.0582,0.0049,4,0.0114,0.0354,0.034,0.005,0.936,50.52,watchlist
REIT-00040,Fitness,Southeast,Fitness,Investment Grade,1038609.8,13651129.64,32,9.08,0.9584,3.242,0.7517,0.13,0.0186,0.0301,1,0.0,0.0536,0.0401,0.0136,0.98,6.63,healthy
REIT-00041,Medical Office,Southwest,Entertainment,Stable,837011.23,11663596.96,8,6.72,0.8992,2.015,0.5656,0.1178,0.0559,0.0157,1,0.0,0.0311,0.021,0.055,0.8646,39.06,healthy
REIT-00042,Convenience Store,Southwest,Restaurant,Stable,446868.61,7367221.59,24,6.2,0.9578,1.944,0.7055,-0.1868,-0.0648,0.012,6,0.0092,0.0262,0.0409,0.0656,0.8593,60.31,watchlist
REIT-00043,Fitness,West Coast,Restaurant,Strong Private,1139355.94,18363158.39,32,14.18,1.0,2.292,0.5866,-0.04,0.0152,0.0423,9,0.0277,0.003,0.0547,0.0128,0.969,32.46,healthy
REIT-00044,Distribution,Southeast,Fuel,Investment Grade,1611158.16,33645863.5,16,9.83,0.9071,4.205,0.6897,0.1405,-0.0411,0.02,4,0.0,0.0379,0.0582,0.0633,0.98,3.17,healthy
REIT-00045,Automotive Service,West Coast,Manufacturing,Stable,1004426.26,13125471.24,38,4.83,0.9847,3.077,0.7838,-0.0677,-0.0402,0.0294,0,0.0155,0.0603,0.021,0.0055,0.8803,30.59,healthy
REIT-00046,Distribution,Midwest,Grocery,Investment Grade,3440502.88,76455619.5,1,5.16,0.9971,3.013,0.6644,0.0145,0.0048,0.0227,3,0.0188,0.0236,0.0558,0.0955,0.9267,1.67,healthy
REIT-00047,Medical Office,Southwest,Entertainment,Weak,403629.38,6388211.32,2,5.99,0.9585,1.966,0.627,0.0052,-0.0884,0.0103,10,0.0071,0.0186,0.0323,0.0311,0.5816,77.32,at risk
REIT-00048,Automotive Service,Southwest,Logistics,Watch,591272.2,10003709.54,11,9.59,0.9634,2.624,0.7425,-0.0446,0.0673,0.0184,2,0.0659,0.0329,0.0542,0.0098,0.98,55.9,watchlist
REIT-00049,Convenience Store,Midwest,Logistics,Weak,499833.66,7197698.5,7,6.08,1.0,2.748,0.6809,-0.0243,-0.0059,0.0196,3,0.0,0.024,0.0384,-0.0536,0.5226,60.19,watchlist
REIT-00050,Quick Service Restaurant,Southeast,Healthcare,Investment Grade,455439.52,6710806.93,27,8.28,0.9807,3.072,0.7275,-0.1477,0.0603,0.0207,2,0.0222,0.0373,0.0478,-0.022,0.8919,18.02,healthy
REIT-00051,Office,Mountain,Manufacturing,Investment Grade,681830.59,8593825.45,24,11.17,0.9006,2.835,0.4654,-0.0257,0.0702,0.0176,3,0.0,0.05,0.0564,0.0779,0.98,18.33,healthy
REIT-00052,Fitness,Northeast,Professional Services,Investment Grade,986915.8,12512285.83,15,7.94,0.9334,2.111,0.7496,0.1124,-0.0637,0.0092,0,0.0219,0.0293,0.0311,0.0426,0.9748,19.03,healthy
REIT-00053,Industrial,Midwest,Entertainment,Strong Private,2243656.84,34796449.83,14,10.63,0.9048,2.638,0.7035,0.0451,0.0584,0.0016,0,0.0114,0.0587,0.0341,0.0163,0.98,20.68,healthy
REIT-00054,Entertainment,Midwest,Fitness,Investment Grade,1451574.76,19721655.04,15,6.94,0.9586,1.784,0.7338,-0.0961,0.0541,0.0188,5,0.0048,0.0538,0.0508,-0.0051,0.7261,36.07,healthy
REIT-00055,Grocery,Southwest,Auto,Watch,1689426.74,36830129.52,21,8.92,0.9377,1.588,0.638,-0.0658,0.0239,0.0378,12,0.0066,0.0384,0.0401,0.0193,0.7205,66.46,watchlist
REIT-00056,Fitness,Mountain,Healthcare,Strong Private,555070.99,6932991.11,17,1.57,0.9347,1.201,0.7534,-0.0772,-0.0257,0.0289,0,0.0252,0.0414,0.0485,0.0061,0.5983,75.23,at risk
REIT-00057,Distribution,Southeast,Professional Services,Investment Grade,1377530.46,24965993.38,39,6.48,0.9222,2.652,0.7279,0.1153,-0.0174,0.0332,0,0.0,0.0403,0.031,-0.0105,0.9434,8.49,healthy
REIT-00058,Medical Office,West Coast,Auto,Stable,1125276.76,16741987.68,31,7.36,0.9471,3.023,0.6941,-0.067,0.019,0.0146,4,0.0,0.0288,0.0339,-0.0412,0.8124,34.29,healthy
REIT-00059,Fitness,Southwest,Professional Services,Strong Private,582914.05,9992828.85,31,11.05,0.9762,3.103,0.6939,0.0491,-0.0069,0.0298,11,0.0,0.0265,0.0229,0.0186,0.98,14.43,healthy
REIT-00060,Automotive Service,Northeast,Grocery,Stable,1219295.99,22709369.44,6,14.46,0.9371,2.215,0.6964,0.0469,-0.0033,0.0154,3,0.0647,0.0439,0.0488,0.0022,0.98,42.47,healthy
REIT-00061,Office,Mountain,Logistics,Strong Private,1637911.22,18280798.79,5,3.35,0.9003,2.371,0.6723,0.0795,0.0262,0.0327,3,0.008,0.0618,0.0298,0.0362,0.7486,36.38,healthy
REIT-00062,Quick Service Restaurant,Northeast,Grocery,Watch,579628.52,8219732.26,17,3.7,0.9587,2.411,0.5974,-0.0707,-0.104,0.0258,4,0.0286,0.0273,0.041,0.0109,0.7147,74.14,at risk
REIT-00063,Fitness,Southeast,Restaurant,Strong Private,359049.23,4985904.92,29,5.34,0.9407,2.97,0.7123,-0.0621,0.0544,0.0274,3,0.0,0.0418,0.0471,0.0349,0.7558,32.1,healthy
REIT-00064,Quick Service Restaurant,Southwest,Fitness,Strong Private,386724.35,5223745.6,39,15.38,0.9549,2.229,0.6033,-0.0269,0.0258,0.0096,26,0.0378,0.0247,0.0288,-0.0215,0.98,32.15,healthy
REIT-00065,Grocery,West Coast,Fitness,Strong Private,1663946.23,34112550.18,25,4.06,0.9482,0.963,0.6447,0.0096,0.0076,0.0183,1,0.0053,0.0703,0.041,0.0419,0.6102,52.86,watchlist
REIT-00066,Medical Office,Southwest,Fuel,Strong Private,1044770.58,17445157.55,10,5.9,0.9407,2.67,0.7237,0.1833,0.0213,0.0119,7,0.0319,0.0764,0.045,-0.03,0.9441,18.3,healthy
REIT-00067,Grocery,Southwest,Grocery,Strong Private,2419963.17,41481535.49,37,2.66,0.968,1.837,0.6132,0.0452,-0.166,0.0347,0,0.0203,0.043,0.0437,-0.0134,0.637,52.87,watchlist
REIT-00068,Quick Service Restaurant,Midwest,Fitness,Stable,835253.19,14821862.5,37,8.73,0.9771,2.541,0.7129,-0.1417,-0.037,0.0399,5,0.0201,0.0419,0.021,-0.0365,0.7277,46.32,watchlist
REIT-00069,Quick Service Restaurant,Southeast,Grocery,Strong Private,248244.33,3255836.83,20,12.29,0.9956,2.581,0.6068,0.232,-0.0484,0.0373,0,0.0,0.0124,0.0341,-0.0038,0.9095,21.84,healthy
REIT-00070,Distribution,West Coast,Logistics,Investment Grade,2511891.91,44654220.25,37,6.62,0.9712,4.118,0.5772,-0.0297,-0.004,0.009,2,0.0,0.0496,0.0332,0.0191,0.774,0.0,healthy
REIT-00071,Distribution,Midwest,Grocery,Stable,1731905.06,35003711.87,19,9.62,0.9954,0.984,0.746,-0.041,-0.039,0.0127,0,0.0292,0.0476,0.0492,0.0808,0.7493,51.59,watchlist
REIT-00072,Distribution,Southeast,Entertainment,Strong Private,4926203.51,86838638.03,25,3.31,0.8687,3.064,0.7759,-0.0802,0.0602,0.0153,0,0.0,0.075,0.0488,-0.002,0.6932,29.56,healthy
REIT-00073,Automotive Service,Mountain,Auto,Stable,273534.31,4545270.16,32,7.66,0.9998,2.861,0.6988,-0.1976,0.0506,0.0035,7,0.0469,0.0444,0.0246,0.0101,0.8684,41.47,healthy
REIT-00074,Convenience Store,Southwest,Fitness,Weak,318212.69,7071393.21,4,13.67,0.9407,2.181,0.6116,-0.0786,0.059,0.0076,18,0.0279,0.0325,0.0475,0.0631,0.699,80.38,at risk
REIT-00075,Distribution,Mountain,Logistics,Stable,2006121.38,34310746.34,37,4.66,0.9392,1.492,0.686,-0.0177,0.0857,0.0238,2,0.0,0.052,0.0466,0.0493,0.6876,48.47,watchlist
REIT-00076,Grocery,Southeast,Manufacturing,Strong Private,1602198.05,31228893.78,14,8.53,0.9974,2.622,0.7628,0.0169,-0.0129,0.0368,0,0.0021,0.0092,0.0227,-0.0399,0.8917,17.18,healthy
REIT-00077,Office,Southeast,Auto,Stable,764178.91,8899178.02,20,8.1,0.9219,1.942,0.6963,0.0106,0.089,0.0121,2,0.0,0.0532,0.0514,0.0351,0.9508,52.06,watchlist
REIT-00078,Fitness,West Coast,Logistics,Stable,1259118.87,18761309.33,28,0.39,0.9462,2.996,0.6371,0.0717,0.0335,0.0065,6,0.0039,0.0284,0.023,0.0708,0.7016,31.03,healthy
REIT-00079,Distribution,Northeast,Fuel,Strong Private,2212570.08,33913107.38,28,7.53,0.97,3.274,0.61,0.0637,0.0344,0.0014,0,0.0192,0.0759,0.0361,-0.0304,0.98,1.78,healthy
REIT-00080,Grocery,Southeast,Manufacturing,Stable,867047.87,19267730.55,33,5.02,0.9908,2.464,0.78,-0.0043,0.0291,0.0124,8,0.0,0.0198,0.063,-0.026,0.7071,44.12,healthy
REIT-00081,Grocery,Southeast,Grocery,Weak,1741196.13,38693247.38,5,7.77,0.9684,1.647,0.6624,0.0465,-0.0146,0.0257,19,0.0323,0.0463,0.0268,0.0405,0.5752,88.23,at risk
REIT-00082,Medical Office,Southeast,Logistics,Investment Grade,688082.8,12432006.99,24,5.02,0.9883,2.574,0.637,0.1062,0.0822,0.0184,1,0.0,0.0609,0.0424,0.0536,0.8439,14.5,healthy
REIT-00083,Quick Service Restaurant,West Coast,Healthcare,Investment Grade,464579.43,7414388.77,22,4.07,0.9527,2.636,0.6319,-0.0109,-0.0654,0.018,6,0.0743,0.0146,0.0309,0.0263,0.8634,18.92,healthy
REIT-00084,Distribution,Northeast,Logistics,Strong Private,3804678.47,63586002.58,22,12.34,0.9599,1.835,0.671,0.1038,0.0222,0.0123,5,0.0113,0.0674,0.0449,0.0209,0.98,31.57,healthy
REIT-00085,Convenience Store,Southeast,Fitness,Investment Grade,669515.11,9273314.62,18,7.17,0.989,2.385,0.7387,-0.0341,0.0445,0.0256,4,0.0,0.0257,0.0327,0.0075,0.6968,24.47,healthy
REIT-00086,Medical Office,Northeast,Auto,Investment Grade,1593375.44,30033839.55,20,8.16,1.0,2.799,0.8034,-0.0503,-0.016,0.0181,0,0.0084,0.0097,0.0285,0.0535,0.8824,9.79,healthy
REIT-00087,Grocery,Midwest,Entertainment,Stable,814839.13,13903936.65,41,0.86,0.8772,2.428,0.7202,-0.0629,-0.1861,0.0311,0,0.0,0.0469,0.044,-0.0557,0.8211,69.69,at risk
REIT-00088,Office,Midwest,Professional Services,Watch,2809677.25,33549094.02,11,8.7,0.9384,3.008,0.5688,-0.0607,-0.0106,0.017,3,0.0086,0.0158,0.0549,0.0706,0.7438,57.41,watchlist
REIT-00089,Distribution,Southeast,Healthcare,Stable,1600864.11,21420492.43,18,12.3,0.9905,1.881,0.7464,-0.0757,0.0619,0.0111,6,0.0,0.0045,0.021,0.0137,0.7318,50.29,watchlist
REIT-00090,Medical Office,Midwest,Manufacturing,Strong Private,1786966.56,33158934.3,15,8.98,0.9087,2.126,0.7213,-0.0023,0.0513,0.0184,16,0.0086,0.0681,0.0399,0.0393,0.8248,37.37,healthy
REIT-00091,Entertainment,Southeast,Grocery,Strong Private,956042.85,11579945.85,17,3.92,0.9096,1.676,0.7185,-0.055,0.0212,0.0023,7,0.0024,0.0534,0.0259,-0.0341,0.6962,53.85,watchlist
REIT-00092,Office,Mountain,Fuel,Strong Private,1090629.8,14858304.4,31,8.07,0.9564,2.353,0.8544,-0.067,0.0043,0.0327,2,0.0026,0.0504,0.0401,0.0482,0.7702,33.18,healthy
REIT-00093,Automotive Service,Northeast,Auto,Stable,539495.6,7119261.55,40,7.16,0.9188,1.884,0.6685,0.131,0.0384,0.0161,1,0.0004,0.003,0.0401,-0.0067,0.8558,39.63,healthy
REIT-00094,Industrial,Southeast,Logistics,Watch,1665207.81,33235324.59,19,11.48,1.0,1.61,0.6393,-0.0209,-0.0322,0.0,2,0.0,0.0316,0.0479,-0.0004,0.6885,54.32,watchlist
REIT-00095,Entertainment,Midwest,Fitness,Investment Grade,1775584.29,22573730.8,19,4.78,0.973,2.856,0.6853,-0.0517,0.009,0.0185,2,0.0314,0.0573,0.049,0.046,0.9508,13.49,healthy
REIT-00096,Grocery,Northeast,Restaurant,Stable,950050.76,16408778.9,40,4.72,0.9995,2.487,0.7461,0.0264,0.0291,0.0108,2,0.0,0.0199,0.0339,0.0176,0.6795,39.81,healthy
REIT-00097,Fitness,Southwest,Entertainment,Strong Private,812246.35,13706156.84,41,5.74,0.9796,2.78,0.7281,-0.0896,0.0716,0.0373,3,0.0209,0.0095,0.021,0.0326,0.98,20.03,healthy
REIT-00098,Office,Midwest,Manufacturing,Strong Private,653615.59,8427166.02,41,4.74,0.9771,2.949,0.5929,-0.0645,0.0325,0.0278,2,0.0,0.0418,0.0361,0.0039,0.7117,29.56,healthy
REIT-00099,Office,West Coast,Grocery,Stable,1236752.03,16708740.37,11,6.61,0.9464,2.92,0.5961,0.0631,0.0979,0.0273,1,0.0,0.0454,0.0452,-0.0426,0.8697,25.84,healthy
REIT-00100,Convenience Store,Northeast,Auto,Strong Private,513792.78,8293235.49,10,7.4,0.9498,3.053,0.8254,-0.1564,0.067,0.0,4,0.0272,0.023,0.0361,0.0072,0.8303,26.54,healthy
REIT-00101,Distribution,Northeast,Fitness,Watch,1996867.24,34570990.83,7,5.95,0.9995,2.634,0.5763,-0.1056,-0.0389,0.012,15,0.0569,0.0796,0.0309,0.014,0.8325,59.87,watchlist
REIT-00102,Medical Office,Southwest,Logistics,Investment Grade,1326900.89,25708509.06,7,6.59,1.0,2.696,0.6978,0.1093,0.0782,0.0119,21,0.0516,0.0222,0.0229,0.0614,0.98,7.82,healthy
REIT-00103,Medical Office,Midwest,Healthcare,Watch,1743616.04,25632513.77,1,9.49,0.9865,1.919,0.6617,-0.0146,-0.0685,0.0189,18,0.0063,0.03,0.0607,-0.0089,0.6274,59.82,watchlist
REIT-00104,Office,Southwest,Professional Services,Investment Grade,1416962.32,18703780.74,30,10.41,0.9539,3.072,0.8464,0.0153,-0.0637,0.0525,6,0.0007,0.0115,0.0487,0.0612,0.98,19.84,healthy
REIT-00105,Office,Southwest,Professional Services,Watch,607574.93,8501684.72,41,10.79,0.9751,1.643,0.6825,0.0821,0.0985,0.0361,8,0.0207,0.0676,0.0351,0.026,0.8135,74.77,at risk
REIT-00106,Industrial,Southwest,Restaurant,Investment Grade,941378.9,14875460.46,11,13.82,0.9435,1.127,0.7098,-0.0574,-0.0934,0.0097,5,0.0308,0.0397,0.047,0.0015,0.8345,46.42,watchlist
REIT-00107,Quick Service Restaurant,Northeast,Logistics,Weak,984335.23,14801387.0,26,7.65,0.9061,2.04,0.5243,-0.1027,-0.0375,0.0178,20,0.0119,0.0264,0.0321,0.0456,0.4284,92.03,at risk
REIT-00108,Entertainment,Northeast,Restaurant,Stable,995067.98,16033584.57,7,7.17,0.9411,2.529,0.5519,0.0405,0.0526,0.0354,7,0.0,0.0516,0.0286,-0.0224,0.8428,33.86,healthy
REIT-00109,Grocery,Midwest,Manufacturing,Strong Private,1074080.61,17195974.77,10,9.68,1.0,2.829,0.5988,0.0556,-0.0719,0.0041,1,0.0,0.025,0.0341,0.0719,0.9686,11.17,healthy
REIT-00110,Entertainment,Midwest,Logistics,Stable,806065.74,10502255.46,14,8.98,0.9125,2.149,0.67,0.0419,-0.0108,0.0568,8,0.0,0.0356,0.0476,0.022,0.98,32.82,healthy
REIT-00111,Convenience Store,West Coast,Fitness,Investment Grade,870955.77,19164456.88,3,11.03,0.9578,2.938,0.6899,-0.0051,-0.0104,0.0223,1,0.006,0.0429,0.0338,0.005,0.98,0.0,healthy
REIT-00112,Medical Office,Southeast,Manufacturing,Strong Private,557201.52,7734556.05,27,12.5,0.892,1.88,0.6819,-0.0554,0.045,0.0396,5,0.0,0.0411,0.0437,-0.0254,0.8032,48.9,watchlist
REIT-00113,Fitness,Midwest,Logistics,Stable,1226402.52,22782569.25,24,7.14,0.9677,2.326,0.6896,-0.0455,-0.0488,0.021,0,0.0,0.0436,0.0306,-0.0108,0.7883,44.38,healthy
REIT-00114,Entertainment,Midwest,Fitness,Watch,1821586.36,27602472.86,35,9.51,0.9526,3.353,0.6278,-0.0874,0.0721,0.0337,8,0.0289,0.0419,0.0418,-0.018,0.98,47.94,watchlist
REIT-00115,Industrial,Mountain,Logistics,Stable,3372578.0,51913260.08,32,4.68,0.9572,3.269,0.688,0.0167,0.1578,0.0284,1,0.0,0.0531,0.0482,0.0222,0.9178,21.14,healthy
REIT-00116,Medical Office,Southeast,Restaurant,Watch,698885.41,13996987.42,36,7.28,0.9427,2.952,0.7322,-0.0498,-0.0657,0.0333,3,0.0,0.0445,0.021,-0.0235,0.8657,51.23,watchlist
REIT-00117,Distribution,Southeast,Professional Services,Investment Grade,1879736.73,30953748.93,29,8.55,0.9264,2.184,0.7686,0.1826,0.0966,0.0197,5,0.0037,0.0631,0.0542,0.0175,0.98,13.18,healthy
REIT-00118,Automotive Service,Southeast,Healthcare,Stable,856172.85,11715285.77,37,7.35,0.9443,1.178,0.5848,-0.0139,0.0663,0.0281,1,0.0,0.003,0.0463,0.0801,0.773,51.3,watchlist
REIT-00119,Industrial,Midwest,Restaurant,Stable,2741236.2,42207103.84,30,3.97,0.9533,1.917,0.5605,0.0297,-0.0931,0.0213,5,0.0131,0.0468,0.0375,-0.0452,0.7943,51.69,watchlist
REIT-00120,Automotive Service,Mountain,Healthcare,Watch,668694.0,9891621.46,15,3.35,0.9397,2.856,0.6405,0.156,-0.0862,0.0145,6,0.01,0.0282,0.0403,0.0213,0.9441,64.12,watchlist
REIT-00121,Office,West Coast,Professional Services,Strong Private,610636.29,7078161.37,31,1.46,0.9826,2.103,0.6964,0.058,-0.1213,0.0171,0,0.0119,0.0458,0.0361,0.0118,0.9701,44.74,healthy
REIT-00122,Office,Southeast,Entertainment,Strong Private,1342053.06,14831393.95,40,3.68,0.9343,1.291,0.7129,0.0872,-0.0263,0.0253,1,0.0404,0.0555,0.0532,0.0138,0.6977,64.87,watchlist
REIT-00123,Automotive Service,Southwest,Restaurant,Strong Private,761994.83,13138129.71,41,7.93,0.9253,2.023,0.6483,-0.0358,0.101,0.0545,1,0.0004,0.0464,0.0351,0.0376,0.5882,37.83,healthy
REIT-00124,Convenience Store,Southeast,Restaurant,Stable,784435.29,11137997.17,35,6.81,0.9526,2.044,0.489,-0.028,-0.0067,0.016,0,0.0,0.0263,0.0409,-0.0162,0.98,41.35,healthy
