listing_id,make,model,family,year,age,mileage,condition,seller_type,region,season,title_status,engine_cc,horsepower,torque_ft_lbs,weight_lbs,power_to_weight,abs,carbon_fiber,mods_score,service_records,num_photos,description_score,days_on_market,listing_price,synthetic_fair_market_value,deal_delta_pct,deal_quality
L00049,Buell,Hammerhead 1190,superbike,2026,0,991,fair,private,Mountain,fall,clean,1190,185,102,419,0.4415,1,1,0.131,0,10,0.809,21,20377.14,22995.36,-0.1139,fair deal
L00050,Buell,Hammerhead 1190,superbike,2023,3,6668,good,private,Midwest,fall,clean,1190,185,102,419,0.4415,1,1,0.327,1,1,0.381,11,18439.34,17883.44,0.0311,market price
L00051,KTM,1290 Super Duke R,naked,2020,6,9522,good,private,Southwest,spring,lien,1301,177,103,440,0.4023,1,0,0.388,0,14,0.356,3,10948.71,9683.55,0.1306,overpriced
L00052,Buell,1125CR,streetfighter,2009,17,4428,excellent,dealer,Mountain,winter,clean,1125,146,82,375,0.3893,0,0,0.136,0,9,0.477,39,2323.07,2123.36,0.0941,overpriced
L00053,Yamaha,MT-09,naked,2015,11,60125,good,private,Midwest,fall,clean,890,117,68,417,0.2806,1,0,0.37,0,5,1.0,52,1200.0,1075.52,0.1157,overpriced
L00054,Buell,1125CR,streetfighter,2009,17,56803,very good,private,Southeast,summer,rebuilt,1125,146,82,375,0.3893,0,0,0.338,0,18,0.859,21,1200.0,1000.0,0.2,overpriced
L00055,Buell,1125CR,streetfighter,2009,17,50520,very good,private,Midwest,spring,clean,1125,146,82,375,0.3893,0,0,0.321,1,15,0.885,21,1200.0,1098.42,0.0925,overpriced
L00056,Buell,XB12R Firebolt,sportbike,2008,18,72981,very good,dealer,Southeast,fall,clean,1203,103,84,395,0.2608,0,0,0.402,0,8,0.731,15,1200.0,1000.0,0.2,overpriced
L00057,Buell,XB12R Firebolt,sportbike,2005,21,76715,good,private,Southeast,fall,lien,1203,103,84,395,0.2608,0,0,0.071,1,3,0.686,21,1200.0,1000.0,0.2,overpriced
L00058,Ducati,Monster,naked,2024,2,10717,fair,auction,Southeast,fall,clean,937,111,69,414,0.2681,1,0,0.272,0,18,0.613,57,8676.91,7273.75,0.1929,overpriced
L00059,KTM,1290 Super Duke R,naked,2022,4,21334,very good,private,Mountain,winter,lien,1301,177,103,440,0.4023,1,0,0.232,0,11,0.736,21,10108.46,9657.03,0.0467,market price
L00060,Buell,Super Cruiser,performance cruiser,2026,0,20,very good,dealer,Mountain,spring,clean,1190,175,94,485,0.3608,1,0,0.028,1,8,0.671,25,32000.0,34000.0,-0.0588,fair deal
L00061,Buell,Blast,standard,2006,20,4977,good,dealer,Mountain,spring,lien,492,34,30,360,0.0944,0,0,0.577,1,6,0.461,25,1200.0,1000.0,0.2,overpriced
L00062,Buell,Hammerhead 1190,superbike,2026,0,725,good,private,Mountain,winter,clean,1190,185,102,419,0.4415,1,1,0.188,1,12,0.373,26,26684.54,27124.47,-0.0162,market price
L00063,Buell,1190SX,streetfighter,2021,5,33091,fair,private,Northeast,winter,clean,1190,185,102,414,0.4469,1,1,0.445,1,8,0.877,40,7164.76,8013.56,-0.1059,fair deal
L00064,Buell,1125CR,streetfighter,2010,16,85409,good,auction,Southwest,fall,clean,1125,146,82,375,0.3893,0,0,0.31,1,10,0.763,18,1200.0,1000.0,0.2,overpriced
L00065,BMW,S1000R,naked,2015,11,66757,very good,private,Mountain,winter,clean,999,165,84,438,0.3767,1,0,0.558,1,14,0.778,41,1800.0,1873.3,-0.0391,market price
L00066,Buell,1190SX,streetfighter,2017,9,2939,very good,private,Northeast,winter,lien,1190,185,102,414,0.4469,1,1,0.071,0,16,0.583,66,8595.72,8226.48,0.0449,market price
L00067,Buell,1190SX,streetfighter,2016,10,16263,poor,auction,Northeast,spring,clean,1190,185,102,414,0.4469,1,1,0.572,0,9,0.659,24,4301.02,4832.43,-0.11,fair deal
L00068,Ducati,Monster,naked,2016,10,50485,very good,private,Midwest,fall,clean,937,111,69,414,0.2681,1,0,0.405,1,12,0.806,7,2191.98,2267.46,-0.0333,market price
L00069,Buell,Blast,standard,2001,25,146749,very good,private,West Coast,fall,clean,492,34,30,360,0.0944,0,0,0.379,1,14,0.668,13,1200.0,1000.0,0.2,overpriced
L00070,Buell,Hammerhead 1190,superbike,2025,1,881,very good,private,Northeast,spring,clean,1190,185,102,419,0.4415,1,1,0.23,1,6,0.476,22,29663.05,30804.4,-0.0371,market price
L00071,Buell,Super Cruiser,performance cruiser,2025,1,1723,very good,auction,Southeast,summer,clean,1190,175,94,485,0.3608,1,0,0.349,1,15,0.721,15,32000.0,34000.0,-0.0588,fair deal
L00072,Harley-Davidson,Sportster S,performance cruiser,2024,2,8850,excellent,dealer,West Coast,spring,clean,1252,121,94,502,0.241,1,0,0.518,1,7,0.508,15,16551.18,18495.39,-0.1051,fair deal
L00073,BMW,S1000R,naked,2014,12,35756,good,private,Southeast,summer,clean,999,165,84,438,0.3767,1,0,0.449,0,12,0.649,46,2633.69,2342.0,0.1245,overpriced
L00074,Buell,1190SX,streetfighter,2017,9,26875,very good,dealer,West Coast,winter,clean,1190,185,102,414,0.4469,1,1,0.082,1,4,0.497,24,9711.38,7418.85,0.309,overpriced
L00075,KTM,1290 Super Duke R,naked,2017,9,33047,very good,private,Northeast,spring,clean,1301,177,103,440,0.4023,1,0,0.014,1,13,0.625,14,6328.18,5819.32,0.0874,overpriced
L00076,Buell,Blast,standard,2008,18,42122,fair,dealer,Southwest,fall,clean,492,34,30,360,0.0944,0,0,0.621,1,13,0.784,9,1200.0,1000.0,0.2,overpriced
L00077,Yamaha,MT-09,naked,2026,0,969,very good,dealer,Mountain,spring,clean,890,117,68,417,0.2806,1,0,0.622,0,12,0.482,27,11386.24,12409.79,-0.0825,fair deal
L00078,Yamaha,MT-09,naked,2015,11,32470,excellent,private,Southwest,winter,clean,890,117,68,417,0.2806,1,0,0.135,1,8,0.956,19,2033.15,2019.45,0.0068,market price
L00079,Ducati,Monster,naked,2015,11,39462,good,private,Midwest,summer,clean,937,111,69,414,0.2681,1,0,0.516,0,9,0.884,37,2366.71,2140.09,0.1059,overpriced
L00080,Buell,Hammerhead 1190,superbike,2023,3,8376,good,dealer,Northeast,fall,clean,1190,185,102,419,0.4415,1,1,0.01,0,9,0.629,7,16608.53,18345.73,-0.0947,fair deal
L00081,Harley-Davidson,Sportster S,performance cruiser,2023,3,7207,very good,private,Southeast,summer,clean,1252,121,94,502,0.241,1,0,0.33,1,7,0.71,26,10662.03,12473.92,-0.1453,strong deal
L00082,Buell,1125CR,streetfighter,2009,17,34793,poor,private,Midwest,fall,clean,1125,146,82,375,0.3893,0,0,0.497,1,17,0.882,18,1200.0,1000.0,0.2,overpriced
L00083,Buell,1125CR,streetfighter,2009,17,32783,fair,private,West Coast,winter,clean,1125,146,82,375,0.3893,0,0,0.325,1,8,0.538,11,1200.0,1124.65,0.067,market price
L00084,Buell,Blast,standard,2004,22,54511,excellent,private,Southeast,winter,clean,492,34,30,360,0.0944,0,0,0.0,0,16,0.671,43,1200.0,1000.0,0.2,overpriced
L00085,Buell,Hammerhead 1190,superbike,2023,3,12469,very good,dealer,Mountain,fall,rebuilt,1190,185,102,419,0.4415,1,1,0.066,1,1,0.697,25,14356.08,14314.22,0.0029,market price
L00086,Buell,Super Cruiser,performance cruiser,2025,1,2285,very good,private,Southeast,spring,clean,1190,175,94,485,0.3608,1,0,0.366,1,3,0.646,6,32000.0,34000.0,-0.0588,fair deal
L00087,Buell,XB12R Firebolt,sportbike,2006,20,40930,good,private,Midwest,summer,clean,1203,103,84,395,0.2608,0,0,0.59,1,14,0.591,20,1200.0,1000.0,0.2,overpriced
L00088,KTM,1290 Super Duke R,naked,2015,11,49170,fair,auction,Northeast,spring,lien,1301,177,103,440,0.4023,1,0,0.2,0,8,1.0,26,2867.59,2534.78,0.1313,overpriced
L00089,Harley-Davidson,Sportster S,performance cruiser,2022,4,18561,very good,private,Mountain,fall,clean,1252,121,94,502,0.241,1,0,0.548,0,9,0.601,3,9688.54,8864.15,0.093,overpriced
L00090,BMW,S1000R,naked,2025,1,379,excellent,private,Southwest,winter,clean,999,165,84,438,0.3767,1,0,0.531,1,1,0.481,41,16486.49,17141.78,-0.0382,market price
L00091,Buell,Hammerhead 1190,superbike,2026,0,1680,excellent,private,Southeast,fall,clean,1190,185,102,419,0.4415,1,1,0.636,0,8,0.676,6,32000.0,32052.02,-0.0016,market price
L00092,Buell,1125CR,streetfighter,2010,16,10630,good,private,West Coast,winter,lien,1125,146,82,375,0.3893,0,0,0.415,1,18,0.774,31,1863.89,1908.78,-0.0235,market price
L00093,Buell,XB12R Firebolt,sportbike,2004,22,87587,excellent,auction,Mountain,summer,clean,1203,103,84,395,0.2608,0,0,0.57,1,9,0.792,8,1200.0,1000.0,0.2,overpriced
L00094,Harley-Davidson,Sportster S,performance cruiser,2021,5,19668,excellent,dealer,Southeast,spring,clean,1252,121,94,502,0.241,1,0,0.57,1,14,0.604,26,11690.19,10199.53,0.1461,overpriced
L00095,Harley-Davidson,Sportster S,performance cruiser,2021,5,5495,excellent,auction,Southeast,summer,clean,1252,121,94,502,0.241,1,0,0.483,1,12,0.975,41,10380.4,10755.98,-0.0349,market price
L00096,Buell,XB12R Firebolt,sportbike,2004,22,9168,fair,private,Midwest,fall,clean,1203,103,84,395,0.2608,0,0,0.189,1,8,0.772,30,1200.0,1000.0,0.2,overpriced
L00097,BMW,S1000R,naked,2014,12,32817,fair,private,West Coast,winter,lien,999,165,84,438,0.3767,1,0,0.506,1,13,0.596,65,2478.33,2176.45,0.1387,overpriced
L00098,Buell,Super Cruiser,performance cruiser,2026,0,2046,excellent,private,West Coast,fall,clean,1190,175,94,485,0.3608,1,0,0.444,1,11,0.498,34,32000.0,34000.0,-0.0588,fair deal
L00099,Buell,1190SX,streetfighter,2023,3,3738,very good,private,Northeast,winter,clean,1190,185,102,414,0.4469,1,1,0.0,1,15,0.547,26,21203.81,18306.64,0.1583,overpriced
L00100,Buell,Blast,standard,2005,21,83536,good,dealer,West Coast,spring,clean,492,34,30,360,0.0944,0,0,0.472,1,9,0.973,19,1200.0,1000.0,0.2,overpriced
L00101,Buell,Super Cruiser,performance cruiser,2025,1,474,good,dealer,Midwest,spring,clean,1190,175,94,485,0.3608,1,0,0.024,0,3,0.702,39,25634.79,34000.0,-0.246,strong deal
L00102,KTM,1290 Super Duke R,naked,2020,6,21961,excellent,private,West Coast,winter,clean,1301,177,103,440,0.4023,1,0,0.485,1,12,0.836,12,8705.74,10254.47,-0.151,strong deal
L00103,Buell,1190SX,streetfighter,2019,7,15940,very good,dealer,West Coast,winter,clean,1190,185,102,414,0.4469,1,1,0.427,1,13,0.444,14,13082.31,11417.96,0.1458,overpriced
L00104,Buell,1190SX,streetfighter,2014,12,36305,good,dealer,West Coast,spring,clean,1190,185,102,414,0.4469,1,1,0.366,1,14,0.281,6,4486.62,4869.54,-0.0786,fair deal
L00105,Buell,1125CR,streetfighter,2010,16,1717,very good,dealer,Midwest,fall,clean,1125,146,82,375,0.3893,0,0,0.609,0,10,0.253,30,2498.45,2416.22,0.034,market price
L00106,Buell,1125CR,streetfighter,2010,16,25664,good,dealer,Southwest,fall,rebuilt,1125,146,82,375,0.3893,0,0,0.714,1,14,0.727,19,1278.89,1313.08,-0.026,market price
L00107,Buell,Super Cruiser,performance cruiser,2026,0,20,fair,auction,Midwest,fall,clean,1190,175,94,485,0.3608,1,0,0.199,0,14,0.842,19,28927.24,28488.75,0.0154,market price
L00108,Buell,Blast,standard,2004,22,29277,good,auction,Midwest,spring,clean,492,34,30,360,0.0944,0,0,0.0,0,10,0.748,21,1200.0,1000.0,0.2,overpriced
L00109,Buell,Hammerhead 1190,superbike,2025,1,2211,very good,dealer,Midwest,fall,clean,1190,185,102,419,0.4415,1,1,0.0,1,14,0.483,15,23146.72,27395.7,-0.1551,strong deal
L00110,Buell,Blast,standard,2000,26,55181,good,private,West Coast,fall,clean,492,34,30,360,0.0944,0,0,0.094,1,15,0.933,7,1200.0,1000.0,0.2,overpriced
L00111,Buell,Super Cruiser,performance cruiser,2025,1,1444,good,private,Southeast,spring,lien,1190,175,94,485,0.3608,1,0,0.478,0,3,0.745,12,32000.0,31880.61,0.0037,market price
L00112,Yamaha,MT-09,naked,2015,11,57981,excellent,dealer,Southwest,winter,clean,890,117,68,417,0.2806,1,0,0.609,0,7,0.709,21,1676.21,1497.55,0.1193,overpriced
L00113,Ducati,Monster,naked,2026,0,20,excellent,dealer,Mountain,summer,clean,937,111,69,414,0.2681,1,0,0.0,1,10,0.914,19,17468.1,18498.98,-0.0557,fair deal
L00114,Buell,1190SX,streetfighter,2017,9,36969,very good,private,Mountain,fall,rebuilt,1190,185,102,414,0.4469,1,1,0.53,1,20,0.46,20,5027.18,4444.69,0.1311,overpriced
L00115,Buell,Hammerhead 1190,superbike,2025,1,606,good,auction,Mountain,spring,clean,1190,185,102,419,0.4415,1,1,0.295,1,14,0.753,13,22125.98,26500.51,-0.1651,strong deal
L00116,Ducati,Monster,naked,2025,1,656,good,dealer,Southeast,winter,clean,937,111,69,414,0.2681,1,0,0.56,0,4,0.404,15,12526.4,11985.57,0.0451,market price
L00117,Yamaha,MT-09,naked,2024,2,1232,excellent,dealer,West Coast,winter,clean,890,117,68,417,0.2806,1,0,0.407,1,9,0.732,37,9880.94,10555.5,-0.0639,fair deal
L00118,Buell,Super Cruiser,performance cruiser,2026,0,339,excellent,auction,Southeast,spring,clean,1190,175,94,485,0.3608,1,0,0.029,0,5,0.547,57,32000.0,34000.0,-0.0588,fair deal
L00119,Harley-Davidson,Sportster S,performance cruiser,2025,1,1122,very good,private,Midwest,fall,clean,1252,121,94,502,0.241,1,0,0.57,1,10,0.516,22,19159.09,16480.75,0.1625,overpriced
L00120,Harley-Davidson,Sportster S,performance cruiser,2025,1,541,fair,dealer,West Coast,spring,clean,1252,121,94,502,0.241,1,0,0.164,1,8,0.567,39,19508.46,16419.97,0.1881,overpriced
L00121,Buell,Blast,standard,2001,25,83287,very good,dealer,Midwest,summer,clean,492,34,30,360,0.0944,0,0,0.315,0,14,0.496,83,1200.0,1000.0,0.2,overpriced
L00122,Buell,1125CR,streetfighter,2009,17,55788,very good,dealer,Southeast,fall,clean,1125,146,82,375,0.3893,0,0,0.401,1,16,0.842,22,1200.0,1060.75,0.1313,overpriced
L00123,Buell,1125CR,streetfighter,2010,16,79216,good,private,Mountain,winter,clean,1125,146,82,375,0.3893,0,0,0.416,1,3,0.615,17,1200.0,1000.0,0.2,overpriced
L00124,Buell,1190SX,streetfighter,2015,11,36375,very good,private,West Coast,fall,clean,1190,185,102,414,0.4469,1,1,0.464,1,11,0.872,4,5389.98,5232.39,0.0301,market price
L00125,Buell,1190SX,streetfighter,2022,4,11345,excellent,private,West Coast,spring,clean,1190,185,102,414,0.4469,1,1,0.535,0,13,0.504,31,21695.66,18520.03,0.1715,overpriced
L00126,BMW,S1000R,naked,2022,4,13050,good,private,Midwest,summer,clean,999,165,84,438,0.3767,1,0,0.371,1,9,0.976,11,8573.48,8563.13,0.0012,market price
L00127,Buell,1190SX,streetfighter,2020,6,3160,very good,private,Northeast,winter,clean,1190,185,102,414,0.4469,1,1,0.196,1,9,0.814,28,13084.81,13332.14,-0.0186,market price
L00128,Harley-Davidson,Sportster S,performance cruiser,2021,5,17230,good,private,Mountain,winter,clean,1252,121,94,502,0.241,1,0,0.42,0,10,0.816,16,7520.84,6862.63,0.0959,overpriced
L00129,Buell,Blast,standard,2001,25,31316,very good,private,Southeast,fall,clean,492,34,30,360,0.0944,0,0,0.0,0,16,0.589,22,1200.0,1000.0,0.2,overpriced
L00130,Buell,Blast,standard,2004,22,77036,very good,private,Northeast,spring,clean,492,34,30,360,0.0944,0,0,0.0,0,8,0.37,27,1200.0,1000.0,0.2,overpriced
L00131,KTM,1290 Super Duke R,naked,2019,7,29829,excellent,auction,West Coast,summer,clean,1301,177,103,440,0.4023,1,0,0.237,1,7,0.782,29,9502.26,8402.14,0.1309,overpriced
L00132,Buell,Blast,standard,2000,26,61217,good,dealer,Southeast,winter,clean,492,34,30,360,0.0944,0,0,0.0,1,10,0.442,14,1200.0,1000.0,0.2,overpriced
L00133,Buell,1190SX,streetfighter,2018,8,19518,very good,private,West Coast,fall,clean,1190,185,102,414,0.4469,1,1,0.071,0,7,0.425,22,6383.37,8397.41,-0.2398,strong deal
L00134,Buell,1190SX,streetfighter,2025,1,427,fair,private,Southeast,fall,clean,1190,185,102,414,0.4469,1,1,0.0,1,11,0.475,35,18541.59,19144.65,-0.0315,market price
L00135,Buell,Hammerhead 1190,superbike,2024,2,3998,good,dealer,Northeast,winter,clean,1190,185,102,419,0.4415,1,1,0.329,1,14,0.633,17,27565.7,23230.34,0.1866,overpriced
L00136,Buell,Super Cruiser,performance cruiser,2025,1,1384,good,private,West Coast,spring,clean,1190,175,94,485,0.3608,1,0,0.357,1,7,0.622,24,32000.0,34000.0,-0.0588,fair deal
L00137,Buell,Hammerhead 1190,superbike,2023,3,13016,very good,dealer,Southeast,fall,clean,1190,185,102,419,0.4415,1,1,0.328,1,19,0.59,13,20311.26,19763.73,0.0277,market price
L00138,Buell,Super Cruiser,performance cruiser,2025,1,255,excellent,private,Southwest,spring,rebuilt,1190,175,94,485,0.3608,1,0,0.508,0,11,0.674,13,32000.0,30886.68,0.036,market price
L00139,Buell,1125CR,streetfighter,2010,16,56104,excellent,private,Northeast,winter,clean,1125,146,82,375,0.3893,0,0,0.399,1,16,0.581,31,1216.74,1201.71,0.0125,market price
L00140,Buell,1190SX,streetfighter,2017,9,24624,very good,private,Midwest,spring,clean,1190,185,102,414,0.4469,1,1,0.81,1,5,0.481,31,7827.23,7740.16,0.0112,market price
L00141,Buell,Super Cruiser,performance cruiser,2026,0,3628,very good,private,Southwest,spring,lien,1190,175,94,485,0.3608,1,0,0.0,1,6,0.391,52,32000.0,34000.0,-0.0588,fair deal
L00142,Buell,1125CR,streetfighter,2010,16,49972,poor,auction,Midwest,spring,clean,1125,146,82,375,0.3893,0,0,0.012,0,9,0.691,8,1200.0,1000.0,0.2,overpriced
L00143,Buell,Super Cruiser,performance cruiser,2025,1,219,very good,auction,West Coast,spring,clean,1190,175,94,485,0.3608,1,0,0.238,0,12,0.719,30,32000.0,34000.0,-0.0588,fair deal
